sender_ip       |  dest_ip        | timestamp           | total payload_size
_______________________________________________________________________________

192.168.150.124 | 192.168.150.252 | 2023-04-03 13:52:36 | 333
192.168.150.124 | 192.168.150.124 | 2023-04-03 14:17:36 | 1332
192.168.150.124 | 192.168.150.124 | 2023-04-03 14:20:25 | 1665
127.0.0.1 | 127.0.0.1 | 2023-04-03 20:32:18 | 642
127.0.0.1 | 127.0.0.1 | 2023-04-03 20:33:12 | 322
127.0.0.1 | 127.0.0.1 | 2023-04-03 21:18:10 | 963
127.0.0.1 | 127.0.0.1 | 2023-04-05 21:42:30 | 1284
127.0.0.1 | 127.0.0.1 | 2023-04-05 21:51:39 | 1610
127.0.0.1 | 127.0.0.1 | 2023-04-05 22:14:00 | 1284
127.0.0.1 | 127.0.0.1 | 2023-04-05 22:56:51 | 1284
127.0.0.1 | 127.0.0.1 | 2023-04-05 23:42:17 | 642
127.0.0.1 | 127.0.0.1 | 2023-04-05 23:49:44 | 321
127.0.0.1 | 127.0.0.1 | 2023-04-05 23:57:04 | 966
127.0.0.1 | 127.0.0.1 | 2023-04-05 23:58:10 | 966
127.0.0.1 | 127.0.0.1 | 2023-04-06 00:19:31 | 966
127.0.0.1 | 127.0.0.1 | 2023-04-06 00:21:37 | 966
127.0.0.1 | 127.0.0.1 | 2023-04-06 00:23:21 | 966
127.0.0.1 | 127.0.0.1 | 2023-04-06 00:26:09 | 65945
127.0.0.1 | 127.0.0.1 | 2023-04-06 00:29:44 | 3220
127.0.0.1 | 127.0.0.1 | 2023-04-06 00:38:13 | 1926
